name,artists,album,year,length,playlist
Snoopy Vs. The Red Baron,The Royal Guardsmen,Snoopy Vs. The Red Baron,1967,02:41,04/21
Good Time,Owl City & Carly Rae Jepsen,The Midsummer Station,2012,03:26,04/21
Lonely,Palaye Royale,Lonely,2020,03:06,04/21
Secretariat,the moss,Some of Kentucky Derby,2020,02:42,04/21
Things I Miss the Most,Steely Dan,Everything Must Go,2003,03:59,04/21
Boys Will Be Bugs,Cavetown,Animal Kingdom,2019,05:29,04/21
Little Trouble,Better Oblivion Community Center & Phoebe Bridgers & Conor Oberst,Little Trouble b/w Sleepwalkin' (Daydreamin' Version),2019,02:54,04/21
deja vu,Olivia Rodrigo,deja vu,2021,03:36,04/21
Anchor,Roland Faunte,Anchor,2021,04:14,04/21
Sign of the Times,Harry Styles,Harry Styles,2017,05:41,04/21
Puffy Little Shoes,The Presidents Of The United States Of America,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,1995,03:36,04/21
Cheerleader,OMI,Cheerleader (Remixes),2015,02:55,04/21
Harder To Breathe,Maroon 5,Songs About Jane: 10th Anniversary Edition,2002,02:54,04/21
I Think I'm Going To Kill Myself,Elton John,Honky Chateau,1972,03:35,04/21
One Week - Blink 182 Version,Alex Melton,One Week (Blink 182 Version),2021,02:32,04/21
Modern Age,Court Street Company,Modern Age,2020,03:37,04/21
This Life,Vampire Weekend,Father of the Bride,2019,04:29,05/21
I Took A Pill In Ibiza,Mike Posner,"At Night, Alone.",2016,04:41,05/21
...Ready For It?,Taylor Swift,reputation,2017,03:28,05/21
How Bizarre,OMC,How Bizarre,1996,03:44,05/21
Girlfriends,Blossom Caldarone,Girlfriends,2020,03:18,05/21
You Better You Bet,The Who,Face Dances,1981,05:37,05/21
Athena,The Who,It's Hard,1982,03:48,05/21
Tell It to the Volcano,Miniature Tigers,Tell It to the Volcano,2009,02:35,05/21
Sympathy,Vampire Weekend,Father of the Bride,2019,03:47,05/21
Not Today,Twenty One Pilots,Blurryface,2015,03:58,05/21
Traffic,One South Lark,Vista Beach,2020,03:07,05/21
20 Dollar Nose Bleed,Fall Out Boy,Folie à Deux,2008,04:17,05/21
Plastic Hearts,Miley Cyrus,Plastic Hearts,2020,03:26,05/21
Picture Of The Future,Treat Her Right,Tied To The Tracks,1989,02:46,05/21
We're Not Gonna Take It,Twisted Sister,Stay Hungry,1984,03:40,05/21
Big Blue,Vampire Weekend,Father of the Bride,2019,01:49,05/21
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,03:14,05/21
Yes,Morphine,Yes,1995,02:01,05/21
Locura,Juan Wauters,Real Life Situations,2021,02:45,05/21
Hold Me Down,The Happy Fits,What Could Be Better,2020,03:44,05/21
baseball,Hippo Campus,warm glow,2017,03:18,05/21
You Can Be You,Saint Motel,saintmotelevision,2016,02:58,05/21
good 4 u,Olivia Rodrigo,good 4 u,2021,02:58,05/21
Somebody Told Me,The Killers,Hot Fuss,2004,03:17,05/21
Galway Girl,Ed Sheeran,÷ (Deluxe),2017,02:51,05/21
Jessica WJ,Cayucas,Real Life,2019,03:18,05/21
I'm Just a Kid,Simple Plan,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",2018,03:18,05/21
Margaritaville,Jimmy Buffett,"Changes In Latitudes, Changes In Attitudes",1977,04:11,05/21
brutal,Olivia Rodrigo,SOUR,2021,02:24,05/21
Choker,Twenty One Pilots,Scaled And Icy,2021,03:43,05/21
The Boy,Shannon & The Clams,Onion,2018,03:03,05/21
Route 66,The Rolling Stones,The Rolling Stones,1964,02:20,05/21
DLTFWYH,Tokyo Police Club,TPC,2018,04:45,05/21
All My Favorite Songs (feat. AJR),Weezer & AJR,All My Favorite Songs (feat. AJR),2021,02:51,05/21
Drinking Song for Kids,The Growlers,Gay Thoughts - EP,2015,03:35,05/21
You Make Me Wanna Die,The Shivas,You Know What to Do,2014,02:51,05/21
Favorite Songs,One South Lark,Vista Beach,2020,03:32,05/21
Turn Up,SWMRS,Drive North,2016,02:36,05/21
Rub It In,Hypnosonics,Someone Stole My Shoes: Beyond The Q Division Sessions,2021,04:49,05/21
Build a Bitch,Bella Poarch,Build a Bitch,2021,02:03,05/21
Sometimes,Nick Lutsko,Swords,2019,03:49,06/21
Someday,The Growlers,Hung at Heart,2013,03:36,06/21
2012,Will Wood and the Tapeworms,SELF-iSH,2016,04:04,06/21
Pleaser,Wallows,Pleaser,2017,03:08,06/21
Married in a Gold Rush (feat. Danielle Haim),Vampire Weekend & Danielle Haim,Father of the Bride,2019,03:42,06/21
It's Not The Same Anymore,Rex Orange County,Pony,2019,06:26,06/21
Always,Rex Orange County,Pony,2019,03:17,06/21
Long Promised Road - Remastered 2009,The Beach Boys,Surf's Up,1971,03:33,06/21
Pulaski,Andrew Bird,Are You Serious (Deluxe Edition),2016,04:02,06/21
Me and Michael,MGMT,Little Dark Age,2018,04:50,06/21
Everyday Feels Like Sunday,of Montreal,The Sunlandic Twins Bonus EP,2005,03:18,06/21
Gonna Get Over You,Sara Bareilles,Kaleidoscope Heart,2010,04:16,06/21
(I Keep On) Rising Up,Mike Doughty,Sad Man Happy Man,2009,03:25,06/21
Hold You Now (feat. Danielle Haim),Vampire Weekend & Danielle Haim,Father of the Bride,2019,02:34,06/21
Galveston,Glen Campbell,Glen Campbell - The Capitol Years 1965 - 1977,2011,02:41,06/21
Grand Hoodoo - Audiotree Live Version,the moss,the moss on Audiotree Live,2021,02:20,06/21
Long Hot Night (Halfway to Certain),The Growlers,Natural Affair,2019,03:29,06/21
Social Man,The Growlers,Natural Affair,2019,03:28,06/21
Coinstar,The Growlers,Natural Affair,2019,03:28,06/21
The Bird And The Worm,Owl City,Ocean Eyes,2009,03:28,06/21
Cave In,Owl City,Ocean Eyes,2009,04:02,06/21
Baker Street,Gerry Rafferty,City to City,1978,06:06,06/21
Grand Romantic Life,Mom Rock,Grand Romantic Life,2019,03:19,06/21
Midnight Sky,Miley Cyrus,Midnight Sky,2020,03:43,06/21
Goodbye Copenhagen,New Politics,A Bad Girl In Harlem,2013,03:22,06/21
Fall Into These Arms,New Politics,A Bad Girl In Harlem,2013,03:44,06/21
It Won't Be Long - Remastered 2009,The Beatles,With The Beatles (Remastered),1963,02:13,06/21
All My Loving - Remastered 2009,The Beatles,With The Beatles (Remastered),1963,02:08,06/21
Please Mister Postman - Remastered 2009,The Beatles,With The Beatles (Remastered),1963,02:34,06/21
pity party,lovelytheband,finding it hard to smile,2018,03:11,06/21
make you feel pretty,lovelytheband,finding it hard to smile,2018,03:51,06/21
Near Wild Heaven,R.E.M.,Out Of Time,1991,03:19,06/21
"maybe, i'm afraid",lovelytheband,finding it hard to smile,2018,03:09,06/21
Texarkana,R.E.M.,Out Of Time,1991,03:40,06/21
"jealousy, jealousy",Olivia Rodrigo,SOUR,2021,02:53,06/21
enough for you,Olivia Rodrigo,SOUR,2021,03:23,06/21
Born Again,Saint Motel,saintmotelevision,2016,03:27,07/21
What I Got,Sublime,Sublime,1996,02:51,07/21
Santeria,Sublime,Sublime,1996,03:03,07/21
Contact,Phish,Junta,1989,06:42,07/21
